program,bp_family,bp_level,width,pipe_scale,branch_misp,branch_lookups,MR,IPC,PLR,BSF,num_cycles,commit_inst,bp
bfs,tournament,1,4.0,1.0,7737173,178958560,0.04323443930259609,0.116992,0.970752,22.453211274598615,2176180753,254595697,273.036654182348
bfs,tournament,3,4.0,1.0,7587975,178502359,0.042509102078589336,0.117693,0.97057675,22.832210104217957,2163223369,254595648,276.697598107532
bfs,tournament,5,4.0,1.0,7500912,178231008,0.042085336800653676,0.118096,0.970476,23.059718034261433,2155836061,254595724,278.9243667969975
bfs,tournament,7,4.0,1.0,7443062,176807366,0.042097013084850775,0.118508,0.970373,23.050875320871707,2148350651,254595703,280.08657260278096
bfs,local,1,4.0,1.0,7456437,191260701,0.03898572451640235,0.115759,0.97106025,24.908098080656384,2199365098,254595680,286.42583287433393
bfs,local,3,4.0,1.0,7349318,191277516,0.03842227854945586,0.116191,0.97095225,25.27055361254078,2191179400,254595639,289.48679186966734
bfs,local,5,4.0,1.0,7321341,191148439,0.038301861308948484,0.116322,0.9709195,25.349146668576225,2188708662,254595715,290.2555328661785
bfs,local,7,4.0,1.0,7321454,191162498,0.03829963552788476,0.116326,0.9709185,25.350593722833334,2188644543,254595660,290.24229722675307
bfs,bimode,1,4.0,1.0,7705290,180565099,0.042673196773203664,0.117132,0.970717,22.74769816658205,2173581888,254595684,273.82914426322696
bfs,bimode,3,4.0,1.0,7584793,179342130,0.042292310234076064,0.117786,0.9705535,22.948699057305188,2161513030,254595751,276.5881800927197
bfs,bimode,5,4.0,1.0,7355240,177664026,0.04139971476273987,0.118827,0.97029325,23.437196501490707,2142574914,254595689,282.6455685674431
bfs,bimode,7,4.0,1.0,7290310,177102130,0.04116443997596189,0.119083,0.97022925,23.569596733650904,2137963779,254595639,284.5304066973832
cc,tournament,1,4.0,1.0,7372554,84564343,0.08718277395000869,0.109511,0.97262225,11.156128738891809,2329927509,255152218,307.37509070805044
cc,tournament,3,4.0,1.0,7226662,83073308,0.08699138356209433,0.109999,0.97250025,11.179270982692563,2319591778,255152317,312.15015988709587
cc,tournament,5,4.0,1.0,7140729,81902252,0.08718599092977321,0.110289,0.97242775,11.153486238210833,2313492310,255152265,315.0524608551872
cc,tournament,7,4.0,1.0,7076178,80702690,0.08768205867735016,0.110587,0.97235325,11.089534902208863,2307242926,255152181,317.0433079481607
cc,local,1,4.0,1.0,7159327,107063043,0.06687019908447774,0.109368,0.972658,14.545462901512112,2332970985,255152258,316.9547808753532
cc,local,3,4.0,1.0,7042136,107825727,0.06531035028402822,0.109756,0.972561,14.891376263799366,2324716686,255152232,321.0572229789371
cc,local,5,4.0,1.0,7009112,107832691,0.06499988023112582,0.109835,0.97254125,14.962200646245025,2323049036,255152191,322.3319855996023
cc,local,7,4.0,1.0,7009832,107809559,0.06502050527820079,0.109841,0.97253975,14.957431441647998,2322928734,255152249,322.2817139911484
cc,bimode,1,4.0,1.0,7328352,84205342,0.08702953786471172,0.109478,0.9726305,11.175866537542273,2330624044,255152242,309.3241131839737
cc,bimode,3,4.0,1.0,7211747,81652886,0.08832200983073642,0.10991,0.9725225,11.011100198736173,2321458109,255152264,313.05452659390295
cc,bimode,5,4.0,1.0,7013685,78822992,0.08898019247987947,0.110712,0.972322,10.927398254615657,2304653199,255152242,319.4989707265154
cc,bimode,7,4.0,1.0,6974429,78045607,0.08936350511054389,0.110874,0.9722815,10.880073457249404,2301285785,255152283,320.81446585089617
pr,tournament,1,4.0,1.0,7366423,81875754,0.089970750070894,0.133352,0.966662,10.744180739165808,2230304991,297416731,292.67268635672974
pr,tournament,3,4.0,1.0,7226748,81388580,0.08879314518081038,0.133843,0.96653925,10.885291291707555,2222124564,297416763,297.19735256439
pr,tournament,5,4.0,1.0,7142218,80756323,0.0884415948457683,0.134193,0.96645175,10.927570355163516,2216335937,297416713,299.90428166012293
pr,tournament,7,4.0,1.0,7074408,80085245,0.08833597250030265,0.134528,0.966368,10.939688245314661,2210816607,297416723,301.9987575285451
pr,local,1,4.0,1.0,7076517,94993054,0.07449509939958347,0.134127,0.96646825,12.973581588447466,2217423094,297416715,302.84233264047833
pr,local,3,4.0,1.0,7052018,94730183,0.07444320043169346,0.134243,0.96643925,12.982236717331514,2215517037,297416709,303.6241342194532
pr,local,5,4.0,1.0,7016688,94941269,0.07390556365957147,0.134315,0.96642125,13.07643433248938,2214328446,297416728,304.983528411125
pr,local,7,4.0,1.0,7014694,94953921,0.0738747165585716,0.134318,0.9664205,13.08188437154643,2214268664,297416742,305.0617002680373
pr,bimode,1,4.0,1.0,7255119,82168664,0.08829544800679734,0.13382,0.966545,10.94671380936412,2222507825,297416693,296.08799686814234
pr,bimode,3,4.0,1.0,7100528,80917718,0.08774997831748048,0.13444,0.96639,11.012994174238873,2212265536,297416742,301.09188365991935
pr,bimode,5,4.0,1.0,6981088,79449959,0.08786773571525694,0.134834,0.9662915,10.997113925085674,2205802834,297416731,305.31754523793427
pr,bimode,7,4.0,1.0,6945418,79090170,0.08781645051464676,0.134995,0.96625125,11.003077946527121,2203165691,297416702,306.5058885584712
sssp,tournament,1,4.0,1.0,7479892,149536203,0.05002060939048987,0.136841,0.96578975,19.307836545142532,2150465393,294271762,277.66409628641696
sssp,tournament,3,4.0,1.0,7396212,147484461,0.05014909333397503,0.137353,0.96566175,19.255816721730902,2142456076,294271743,279.7226661769565
sssp,tournament,5,4.0,1.0,7317725,146638823,0.04990305329987543,0.13781,0.9655475,19.348465397455154,2135346257,294271701,281.7512726632936
sssp,tournament,7,4.0,1.0,7247361,145639283,0.04976240510604546,0.138271,0.96543225,19.400835790445207,2128222296,294271732,283.5037971752752
sssp,local,1,4.0,1.0,7531205,173881403,0.04331230867742653,0.134972,0.966257,22.309062469893068,2180243344,294271761,279.7262063308594
sssp,local,3,4.0,1.0,7149310,174575997,0.040952422571586405,0.136426,0.9658935,23.58574754183543,2157005124,294271737,291.41793959836684
sssp,local,5,4.0,1.0,7555649,173728749,0.043491068942193324,0.134566,0.9663585,22.21969989480937,2186816600,294271764,279.6912163336333
sssp,local,7,4.0,1.0,7547396,173208722,0.04357399507860811,0.134551,0.96636225,22.177499406622427,2187071719,294271770,280.03085786143987
sssp,bimode,1,4.0,1.0,7415896,153346833,0.04836028142817922,0.13647,0.9658825,19.972640180650117,2156313941,294271733,280.84886947578553
sssp,bimode,3,4.0,1.0,7460010,144133585,0.05175761083025861,0.137221,0.96569475,18.65802409556807,2144505832,294271791,277.6052423857341
sssp,bimode,5,4.0,1.0,7193888,144111694,0.04991883587184812,0.138664,0.965334,19.33807115370659,2122188738,294271712,284.7724081887291
sssp,bimode,7,4.0,1.0,7136549,143056363,0.049886274544810004,0.139005,0.96524875,19.34898444126093,2116990632,294271776,286.33204760452145
tc,tournament,1,4.0,1.0,14410894,212123817,0.06793623744758469,0.094089,0.97647775,14.373444669398841,3966624399,373214252,268.777276135679
tc,tournament,3,4.0,1.0,13993468,198086233,0.07064331421760138,0.09512,0.97622,13.819000577931075,3923606123,373214229,273.72075069239446
tc,tournament,5,4.0,1.0,13839347,189101607,0.07318471386655112,0.095654,0.9760865,13.337300215176734,3901718933,373214283,275.18750431288413
tc,tournament,7,4.0,1.0,13741440,182295451,0.07538004884170149,0.09598,0.976005,12.947789434968605,3888458622,373214261,276.18321345870595
tc,local,1,4.0,1.0,15723100,345555327,0.045500962570893894,0.08853,0.9778675,21.49113875286505,4215693702,373214238,262.18685516851
tc,local,3,4.0,1.0,14353007,345208526,0.04157778826123199,0.089323,0.97766925,23.514219752559555,4178254300,373214275,284.6059178574915
tc,local,5,4.0,1.0,14304917,345296669,0.04142790326193387,0.089405,0.97764875,23.598798708654773,4174420088,373214253,285.29466649474443
tc,local,7,4.0,1.0,14285772,345266555,0.0413760666740513,0.089446,0.9776385,23.62811592753738,4172486838,373214293,285.5416749441332
tc,bimode,1,4.0,1.0,14652910,200073473,0.07323764505252528,0.093498,0.9766255,13.335020525299173,3991686490,373214222,266.04837772838295
tc,bimode,3,4.0,1.0,14233558,189425422,0.07514069574040595,0.094553,0.97636175,12.993781071353242,3947159129,373214253,270.758412320377
tc,bimode,5,4.0,1.0,13828387,177470682,0.07791927570323982,0.095686,0.9760785,12.526791236066577,3900415694,373214229,275.3113676056361
tc,bimode,7,4.0,1.0,13726727,174761016,0.07854570380845119,0.095911,0.97602225,12.426169767097868,3891264568,373214294,276.6836547780108
bc,tournament,1,4.0,1.0,7434483,85589663,0.08686192630528292,0.113292,0.971677,11.186454656611765,2329137167,263873560,304.41508535294247
bc,tournament,3,4.0,1.0,7281169,84365803,0.08630474364121207,0.113697,0.97157575,11.257501140830167,2320849003,263873486,309.68662195589746
bc,tournament,5,4.0,1.0,7188198,83273752,0.08632009279466596,0.113962,0.9715095,11.254731876980017,2315455570,263873535,312.9417395361118
bc,tournament,7,4.0,1.0,7123661,82075208,0.08679430943385485,0.114244,0.971439,11.192427318525125,2309728712,263873475,314.97292519253796
bc,local,1,4.0,1.0,7182987,108292948,0.06632922210225545,0.1131,0.971725,14.650028587730981,2333089393,263873565,315.6237094331369
bc,local,3,4.0,1.0,7098160,108592731,0.06536496443762889,0.113402,0.9716495,14.864989346504517,2326875905,263873520,318.5202256641158
bc,local,5,4.0,1.0,7049383,109112945,0.06460629396447873,0.11348,0.97163,15.039246803635157,2325289417,263873494,320.4991193555521
bc,local,7,4.0,1.0,7045902,109123984,0.06456785888609053,0.113497,0.97162575,15.048133340058943,2324935911,263873496,320.6072887474166
bc,bimode,1,4.0,1.0,7272841,87304093,0.08330469683706582,0.113585,0.97160375,11.66325293639016,2323143280,263873518,310.3566956159223
bc,bimode,3,4.0,1.0,7150447,84668912,0.08445185878850078,0.114148,0.971463,11.503157111472332,2311684165,263873539,314.0664884656861
bc,bimode,5,4.0,1.0,7029680,82538855,0.08516813081548079,0.114561,0.97135975,11.405202165402443,2303335844,263873553,318.2744386302079
bc,bimode,7,4.0,1.0,6996178,81756874,0.08557296356511869,0.114716,0.971321,11.350793048798073,2300236718,263873546,319.35555834914436
